timestamp,message
1744508929499,"{""level"":""INFO"",""location"":""create_pipeline:126"",""message"":""Processing node 2/8 with id: trigger_audio_processing_completed, type: trigger"",""timestamp"":""2025-04-13 01:48:49,498+0000"",""service"":""service_undefined"",""xray_trace_id"":""1-67fb17fa-47ae93971b46b8a701b353b4""}
"
1744508929499,"{""level"":""INFO"",""location"":""create_lambda_function:209"",""message"":""Skipping Lambda creation for trigger-type node: dndnode_1"",""timestamp"":""2025-04-13 01:48:49,499+0000"",""service"":""service_undefined"",""xray_trace_id"":""1-67fb17fa-47ae93971b46b8a701b353b4""}
"
1744508929499,"{""level"":""INFO"",""location"":""create_pipeline:145"",""message"":""No Lambda function needed for node trigger_audio_processing_completed"",""timestamp"":""2025-04-13 01:48:49,499+0000"",""service"":""service_undefined"",""xray_trace_id"":""1-67fb17fa-47ae93971b46b8a701b353b4""}
"
1744508929499,"{""level"":""INFO"",""location"":""update_pipeline_status:380"",""message"":""Updating pipeline 3dd9b763-e9ec-4775-a9b9-afd96e610fba status to PROCESSING NODE 3/8: success"",""timestamp"":""2025-04-13 01:48:49,499+0000"",""service"":""service_undefined"",""xray_trace_id"":""1-67fb17fa-47ae93971b46b8a701b353b4""}
"
1744508929919,"{""level"":""INFO"",""location"":""update_pipeline_status:462"",""message"":""Successfully updated pipeline 3dd9b763-e9ec-4775-a9b9-afd96e610fba status to PROCESSING NODE 3/8: success"",""timestamp"":""2025-04-13 01:48:49,919+0000"",""service"":""service_undefined"",""xray_trace_id"":""1-67fb17fa-47ae93971b46b8a701b353b4""}
"
1744508929921,"{""level"":""INFO"",""location"":""create_pipeline:126"",""message"":""Processing node 3/8 with id: success, type: flow"",""timestamp"":""2025-04-13 01:48:49,921+0000"",""service"":""service_undefined"",""xray_trace_id"":""1-67fb17fa-47ae93971b46b8a701b353b4""}
"
1744508929921,"{""level"":""INFO"",""location"":""create_lambda_function:209"",""message"":""Skipping Lambda creation for flow-type node: dndnode_2"",""timestamp"":""2025-04-13 01:48:49,921+0000"",""service"":""service_undefined"",""xray_trace_id"":""1-67fb17fa-47ae93971b46b8a701b353b4""}
"
1744508929922,"{""level"":""INFO"",""location"":""create_pipeline:145"",""message"":""No Lambda function needed for node success"",""timestamp"":""2025-04-13 01:48:49,921+0000"",""service"":""service_undefined"",""xray_trace_id"":""1-67fb17fa-47ae93971b46b8a701b353b4""}
"
1744508929922,"{""level"":""INFO"",""location"":""update_pipeline_status:380"",""message"":""Updating pipeline 3dd9b763-e9ec-4775-a9b9-afd96e610fba status to PROCESSING NODE 4/8: pre_signed_url"",""timestamp"":""2025-04-13 01:48:49,922+0000"",""service"":""service_undefined"",""xray_trace_id"":""1-67fb17fa-47ae93971b46b8a701b353b4""}
"
1744508930339,"{""level"":""INFO"",""location"":""update_pipeline_status:462"",""message"":""Successfully updated pipeline 3dd9b763-e9ec-4775-a9b9-afd96e610fba status to PROCESSING NODE 4/8: pre_signed_url"",""timestamp"":""2025-04-13 01:48:50,339+0000"",""service"":""service_undefined"",""xray_trace_id"":""1-67fb17fa-47ae93971b46b8a701b353b4""}
"
