timestamp,message
1744508585036,"{""level"":""INFO"",""location"":""update_pipeline_status:380"",""message"":""Updating pipeline 66e9cf8e-d71a-44d8-a518-72ca0336b620 status to PROCESSING NODE 3/8: success"",""timestamp"":""2025-04-13 01:43:05,036+0000"",""service"":""service_undefined"",""xray_trace_id"":""1-67fb16a2-448580692ad706844d763547""}
"
1744508585464,"{""level"":""INFO"",""location"":""update_pipeline_status:462"",""message"":""Successfully updated pipeline 66e9cf8e-d71a-44d8-a518-72ca0336b620 status to PROCESSING NODE 3/8: success"",""timestamp"":""2025-04-13 01:43:05,463+0000"",""service"":""service_undefined"",""xray_trace_id"":""1-67fb16a2-448580692ad706844d763547""}
"
1744508585478,"{""level"":""INFO"",""location"":""create_pipeline:126"",""message"":""Processing node 3/8 with id: success, type: flow"",""timestamp"":""2025-04-13 01:43:05,477+0000"",""service"":""service_undefined"",""xray_trace_id"":""1-67fb16a2-448580692ad706844d763547""}
"
1744508585478,"{""level"":""INFO"",""location"":""create_lambda_function:209"",""message"":""Skipping Lambda creation for flow-type node: dndnode_2"",""timestamp"":""2025-04-13 01:43:05,478+0000"",""service"":""service_undefined"",""xray_trace_id"":""1-67fb16a2-448580692ad706844d763547""}
"
1744508585478,"{""level"":""INFO"",""location"":""create_pipeline:145"",""message"":""No Lambda function needed for node success"",""timestamp"":""2025-04-13 01:43:05,478+0000"",""service"":""service_undefined"",""xray_trace_id"":""1-67fb16a2-448580692ad706844d763547""}
"
1744508585478,"{""level"":""INFO"",""location"":""update_pipeline_status:380"",""message"":""Updating pipeline 66e9cf8e-d71a-44d8-a518-72ca0336b620 status to PROCESSING NODE 4/8: pre_signed_url"",""timestamp"":""2025-04-13 01:43:05,478+0000"",""service"":""service_undefined"",""xray_trace_id"":""1-67fb16a2-448580692ad706844d763547""}
"
1744508585883,"{""level"":""INFO"",""location"":""update_pipeline_status:462"",""message"":""Successfully updated pipeline 66e9cf8e-d71a-44d8-a518-72ca0336b620 status to PROCESSING NODE 4/8: pre_signed_url"",""timestamp"":""2025-04-13 01:43:05,883+0000"",""service"":""service_undefined"",""xray_trace_id"":""1-67fb16a2-448580692ad706844d763547""}
"
1744508585918,"{""level"":""INFO"",""location"":""create_pipeline:126"",""message"":""Processing node 4/8 with id: pre_signed_url, type: utility"",""timestamp"":""2025-04-13 01:43:05,917+0000"",""service"":""service_undefined"",""xray_trace_id"":""1-67fb16a2-448580692ad706844d763547""}
"
1744508585918,"{""level"":""INFO"",""location"":""create_lambda_function:214"",""message"":""Creating/updating Lambda function for node: dndnode_3"",""timestamp"":""2025-04-13 01:43:05,918+0000"",""service"":""service_undefined"",""xray_trace_id"":""1-67fb16a2-448580692ad706844d763547""}
"
1744508585958,"{""level"":""INFO"",""location"":""read_yaml_from_s3:72"",""message"":""Reading YAML file from S3: mldev3-nodes-templates-034362042487-us-east-1--dev/node_templates/utility/pre_signed_url.yaml"",""timestamp"":""2025-04-13 01:43:05,958+0000"",""service"":""service_undefined"",""xray_trace_id"":""1-67fb16a2-448580692ad706844d763547""}
"
